Date,Open,High,Low,Close
28-May-2014,,,,170.88
29-May-2014,171.59,171.59,167.58,168.02
30-May-2014,168.97,169.49,167.47,168.79
2-June-2014,169.33,173.66,169.33,173.44
3-June-2014,174.35,174.91,172.47,174.21
4-June-2014,174.91,175.75,173.87,175.18
5-June-2014,175.99,177.61,174.29,177.38
6-June-2014,178.63,181.28,178.59,181.04
9-June-2014,182.51,186.10,182.51,185.58
10-June-2014,186.87,187.00,181.12,183.91
11-June-2014,183.91,184.91,178.70,179.26
12-June-2014,179.62,180.17,176.89,178.67
13-June-2014,179.51,180.08,171.47,172.64
16-June-2014,172.90,173.89,169.47,173.55
17-June-2014,174.30,177.31,173.48,177.04
18-June-2014,178.28,179.32,173.18,175.56
19-June-2014,176.98,177.65,173.19,173.63
20-June-2014,173.88,174.91,172.60,173.52
23-June-2014,174.47,175.13,172.66,173.59
24-June-2014,174.63,177.84,174.63,177.14
25-June-2014,177.51,178.04,176.41,177.80
26-June-2014,177.87,178.32,175.54,175.85
27-June-2014,176.44,176.82,174.19,175.76
30-June-2014,176.47,179.90,176.38,179.48
1-July-2014,180.12,181.27,179.61,179.78
2-July-2014,180.87,184.20,180.85,183.56
3-July-2014,184.46,184.50,181.81,182.51
4-July-2014,183.19,184.61,181.72,184.31
7-July-2014,185.82,187.14,185.76,186.91
8-July-2014,187.22,187.85,177.49,178.64
9-July-2014,178.42,180.12,174.22,176.73
10-July-2014,177.73,184.80,172.13,180.21
11-July-2014,180.95,182.67,173.04,173.80
14-July-2014,174.32,175.99,172.27,174.76
15-July-2014,175.58,178.10,174.85,177.83
16-July-2014,179.12,180.99,177.25,180.48
17-July-2014,180.69,182.28,179.86,181.96
18-July-2014,181.11,181.35,178.63,180.64
21-July-2014,181.09,182.42,179.41,179.86
22-July-2014,180.86,182.96,180.53,181.88
23-July-2014,182.31,182.66,180.19,181.27
24-July-2014,181.11,182.12,180.23,180.54
25-July-2014,181.30,181.34,175.45,177.97
28-July-2014,178.59,179.08,176.17,176.75
30-July-2014,176.84,179.82,176.61,179.61
31-July-2014,179.54,180.24,178.27,178.52
1-August-2014,177.44,180.33,176.35,177.20
4-August-2014,178.33,179.30,177.68,178.90
5-August-2014,179.04,179.73,177.49,179.08
6-August-2014,179.00,179.99,176.80,177.16
7-August-2014,176.87,177.74,175.79,176.19
8-August-2014,174.70,174.70,172.52,173.33
11-August-2014,175.03,175.43,173.48,173.91
12-August-2014,174.62,175.88,174.53,175.52
