Date,Open,High,Low,Close
23-June-2015,,,,355.08
24-June-2015,355.47,357.54,353.12,354.35
25-June-2015,353.41,358.00,352.82,356.79
26-June-2015,356.66,357.54,354.97,356.27
29-June-2015,352.81,355.22,349.15,354.67
30-June-2015,354.91,359.17,354.61,358.78
1-July-2015,359.42,362.71,359.28,361.29
2-July-2015,362.40,363.41,360.50,360.98
3-July-2015,361.14,364.01,360.57,362.20
6-July-2015,360.13,365.37,358.37,364.95
7-July-2015,365.33,366.25,362.95,364.57
8-July-2015,363.32,363.32,357.78,358.72
9-July-2015,358.80,360.99,357.57,357.99
10-July-2015,358.65,359.75,357.01,359.31
13-July-2015,360.19,363.50,359.10,362.76
14-July-2015,363.50,364.19,362.02,362.72
15-July-2015,363.98,366.32,363.59,366.01
16-July-2015,366.77,369.02,366.63,368.39
17-July-2015,369.06,370.46,368.46,369.73
20-July-2015,370.57,370.84,368.54,370.37
21-July-2015,368.58,368.80,360.94,361.64
22-July-2015,361.32,367.23,360.95,366.88
23-July-2015,367.33,367.64,364.59,365.54
24-July-2015,365.74,366.08,362.36,362.75
27-July-2015,362.63,362.68,355.90,356.34
28-July-2015,356.72,357.79,354.94,355.26
29-July-2015,356.19,356.85,354.64,356.37
30-July-2015,357.83,360.67,357.83,359.83
31-July-2015,361.25,364.87,361.24,363.83
3-August-2015,362.72,364.87,362.50,363.99
4-August-2015,364.46,364.98,360.62,363.53
5-August-2015,363.98,367.76,363.91,366.60
6-August-2015,367.42,368.77,366.02,367.77
7-August-2015,368.36,369.25,367.12,367.96
10-August-2015,368.10,369.59,364.43,365.50
11-August-2015,366.20,366.42,360.69,361.78
12-August-2015,361.86,361.91,354.54,355.18
13-August-2015,356.33,358.62,354.00,354.88
14-August-2015,356.09,361.20,355.66,360.90
17-August-2015,361.14,361.18,356.87,358.46
18-August-2015,359.41,360.82,357.10,358.38
19-August-2015,359.00,362.05,356.73,360.95
20-August-2015,361.90,363.20,357.66,358.47
21-August-2015,356.63,356.63,351.60,354.94
24-August-2015,348.06,348.06,331.93,333.65
25-August-2015,336.33,339.79,326.32,338.07
26-August-2015,338.41,339.84,333.93,335.17
27-August-2015,339.82,342.17,336.87,340.94
28-August-2015,344.37,345.21,339.92,341.75
31-August-2015,341.56,343.43,339.75,341.48
1-September-2015,339.52,339.59,332.62,334.28
2-September-2015,336.49,337.16,331.52,331.91
3-September-2015,333.43,336.47,333.34,335.28
4-September-2015,335.41,335.48,327.15,328.72
7-September-2015,329.73,330.71,323.31,324.17
8-September-2015,325.37,328.88,320.72,327.79
9-September-2015,331.07,334.35,330.61,333.58
10-September-2015,331.09,335.00,327.72,333.92
11-September-2015,335.84,337.09,332.10,333.10
14-September-2015,334.22,336.24,332.27,335.94
15-September-2015,336.69,337.05,332.74,333.67
16-September-2015,335.58,336.25,334.16,335.26
18-September-2015,336.39,339.27,335.23,336.17
21-September-2015,335.33,335.49,333.56,334.49
22-September-2015,335.60,336.20,327.74,328.61
23-September-2015,326.93,331.14,325.19,329.83
24-September-2015,330.29,330.71,328.39,329.67
28-September-2015,329.99,330.52,326.51,326.81
29-September-2015,325.71,330.46,322.30,326.84
30-September-2015,328.51,333.41,328.51,332.92
1-October-2015,334.88,336.24,333.15,334.87
5-October-2015,336.48,340.34,336.48,340.01
6-October-2015,342.06,344.65,341.52,344.26
7-October-2015,344.61,347.54,343.51,347.03
8-October-2015,348.20,348.29,343.86,344.63
9-October-2015,346.17,348.39,344.70,345.67
12-October-2015,346.85,347.89,344.03,344.94
13-October-2015,345.29,346.00,343.22,345.07
14-October-2015,345.20,346.15,344.61,345.07
15-October-2015,345.50,349.14,345.46,348.95
16-October-2015,349.91,351.87,348.43,351.56
19-October-2015,353.04,354.05,352.15,353.65
20-October-2015,354.55,354.79,351.34,352.10
21-October-2015,352.27,353.14,349.85,350.68
23-October-2015,353.02,354.39,350.52,350.79
26-October-2015,351.63,352.51,350.05,350.28
27-October-2015,349.61,350.84,349.40,350.44
28-October-2015,350.24,350.52,348.34,349.66
29-October-2015,350.03,350.23,347.22,347.76
30-October-2015,348.00,349.10,343.26,343.68
2-November-2015,343.25,345.05,341.38,343.48
3-November-2015,344.90,345.57,342.58,343.52
4-November-2015,344.93,346.45,343.35,343.82
5-November-2015,343.87,343.87,339.95,340.80
6-November-2015,340.28,342.34,337.44,338.11
9-November-2015,331.91,338.97,330.32,338.32
10-November-2015,337.68,338.20,332.52,332.91
11-November-2015,335.44,335.57,334.33,335.14
13-November-2015,333.59,333.59,330.39,330.76
16-November-2015,330.98,334.12,329.83,332.80
17-November-2015,333.95,336.03,333.45,334.98
18-November-2015,335.65,336.31,332.35,332.67
19-November-2015,334.37,336.79,333.78,336.39
20-November-2015,336.61,338.73,335.81,337.00
23-November-2015,337.50,338.42,335.94,336.77
24-November-2015,336.63,337.69,335.43,335.99
26-November-2015,335.54,338.94,335.54,338.41
27-November-2015,339.27,339.75,337.46,338.72
30-November-2015,338.79,339.76,336.87,337.57
1-December-2015,338.22,339.50,338.09,339.23
2-December-2015,340.22,341.11,339.20,340.72
3-December-2015,340.25,340.25,336.68,337.21
4-December-2015,336.13,336.98,334.57,334.95
7-December-2015,336.32,336.69,333.07,334.02
8-December-2015,333.39,334.39,330.56,331.50
9-December-2015,331.28,331.94,325.65,325.96
10-December-2015,327.45,329.11,325.41,328.77
11-December-2015,329.24,329.52,325.42,326.85
14-December-2015,326.29,329.25,325.10,328.51
15-December-2015,328.91,332.20,328.70,331.96
16-December-2015,332.52,333.41,331.10,331.53
17-December-2015,332.98,336.28,331.20,335.88
18-December-2015,335.58,336.47,332.47,332.87
21-December-2015,331.18,334.02,331.18,333.57
22-December-2015,333.59,334.41,331.98,332.41
23-December-2015,333.63,335.85,333.43,335.43
24-December-2015,335.96,336.52,334.77,335.86
28-December-2015,336.36,338.55,336.30,338.33
29-December-2015,339.22,339.89,337.72,338.60
30-December-2015,339.31,339.38,337.08,337.45
31-December-2015,337.76,338.93,336.65,338.58
1-January-2016,338.52,340.30,338.00,339.80
4-January-2016,339.41,339.64,333.31,333.83
5-January-2016,334.80,335.78,333.58,334.43
6-January-2016,335.29,335.49,331.44,332.01
7-January-2016,329.91,330.11,322.27,322.91
8-January-2016,324.30,326.78,322.79,323.82
11-January-2016,322.13,325.33,319.30,323.91
12-January-2016,324.30,325.64,322.14,323.31
13-January-2016,325.11,326.69,319.47,325.18
14-January-2016,322.58,325.89,318.91,323.43
15-January-2016,324.50,324.73,319.22,319.71
18-January-2016,319.43,320.95,314.15,314.90
19-January-2016,316.06,319.56,314.55,318.32
20-January-2016,316.43,316.43,310.14,313.30
21-January-2016,315.03,315.92,307.86,308.41
22-January-2016,310.06,315.86,310.06,315.24
25-January-2016,316.30,318.33,314.67,314.96
27-January-2016,316.49,316.55,313.70,314.14
28-January-2016,314.46,317.14,313.61,315.71
29-January-2016,315.62,322.67,315.48,322.05
1-February-2016,323.70,324.12,321.21,321.63
2-February-2016,322.47,322.85,315.47,316.67
3-February-2016,315.23,316.09,313.09,313.59
4-February-2016,315.58,317.27,312.66,314.49
5-February-2016,315.25,320.52,314.59,319.73
8-February-2016,320.08,321.04,314.87,315.72
9-February-2016,314.25,315.59,312.84,313.74
10-February-2016,313.10,313.10,308.85,310.98
11-February-2016,310.97,311.02,300.57,301.14
12-February-2016,302.54,303.72,295.41,301.00
15-February-2016,303.69,310.29,303.63,309.58
16-February-2016,311.07,311.49,302.88,303.34
17-February-2016,303.96,308.15,299.89,307.43
18-February-2016,310.10,313.07,307.83,310.47
19-February-2016,310.40,311.82,308.90,311.30
22-February-2016,312.12,314.80,311.23,314.28
23-February-2016,315.07,315.09,308.65,309.51
24-February-2016,309.02,309.02,305.65,306.33
25-February-2016,306.47,307.24,304.39,304.63
26-February-2016,306.60,308.54,304.63,306.35
29-February-2016,307.15,308.33,298.27,304.52
1-March-2016,305.96,314.93,305.59,314.59
2-March-2016,317.15,319.35,315.44,316.03
3-March-2016,318.00,322.12,318.00,321.64
4-March-2016,322.97,323.20,320.68,321.61
8-March-2016,321.79,325.35,321.19,322.88
9-March-2016,321.74,325.45,320.69,325.10
10-March-2016,325.71,326.02,321.39,322.88
11-March-2016,322.83,325.60,322.57,325.15
14-March-2016,326.38,328.33,325.67,326.41
15-March-2016,326.78,326.91,322.15,322.52
16-March-2016,322.56,323.29,319.16,322.98
17-March-2016,325.09,326.38,322.32,323.34
18-March-2016,324.00,325.54,321.70,325.09
21-March-2016,325.67,330.20,325.66,329.74
22-March-2016,330.48,331.44,327.63,330.49
23-March-2016,330.99,331.04,328.84,330.23
28-March-2016,330.73,330.96,324.50,325.21
29-March-2016,325.21,326.42,322.41,324.00
30-March-2016,326.77,330.66,326.77,330.37
31-March-2016,330.75,332.09,329.56,330.85
1-April-2016,330.86,331.34,329.10,330.59
4-April-2016,330.86,332.36,330.27,332.12
5-April-2016,331.87,331.87,325.48,326.04
6-April-2016,327.20,328.81,326.35,328.33
7-April-2016,328.99,328.99,325.78,326.25
8-April-2016,326.13,327.90,325.86,327.00
11-April-2016,327.81,330.57,325.21,330.31
12-April-2016,330.87,333.96,330.71,333.21
13-April-2016,334.99,341.25,334.99,340.71
18-April-2016,341.33,343.19,339.90,342.77
20-April-2016,343.44,343.99,340.71,341.89
21-April-2016,343.12,344.00,339.38,340.46
22-April-2016,340.22,341.71,339.06,340.42
25-April-2016,340.88,340.88,336.86,337.74
26-April-2016,336.80,342.01,335.97,341.36
27-April-2016,341.25,342.64,340.52,342.38
28-April-2016,342.42,342.55,336.06,336.49
29-April-2016,336.65,338.49,334.37,336.10
2-May-2016,336.13,336.57,334.07,336.06
3-May-2016,337.06,339.79,333.48,334.15
