Date,ADANIENT,HINDALCO,JSWSTEEL,TATASTEEL,ADANIPORTS,APOLLOHOSP,CIPLA,DRREDDY,SUNPHARMA,ASIANPAINT,TITAN,AXISBANK,BAJFINANCE,BAJAJFINSV,HDFCBANK,HDFCLIFE,ICICIBANK,INDUSINDBK,KOTAKBANK,SBILIFE,SHRIRAMFIN,SBIN,BAJAJ_AUTO,EICHERMOT,HEROMOTOCO,M&M,MARUTI,TATAMOTORS,BEL,BPCL,COALINDIA,ONGC,RELIANCE,BHARTIARTL,BRITANNIA,HINDUNILVR,ITC,NESTLEIND,TATACONSUM,GRASIM,ULTRACEMCO,HCLTECH,INFY,TCS,TECHM,WIPRO,LT,NTPC,POWERGRID,TRENT
2023-03-17,1876.55,396.70001,676.40002,107.0,680.34998,4346.5,874.04999,887.23,957.70001,2862.6499,2455.6499,837.40002,5732.3501,1301.75,1572.65,471.25,836.25,1020.5,1693.1,1071.6,249.2,529.79999,3814.3999,2974.6001,2355.1499,1171.5,8316.8496,419.0,93.400002,175.699995,221.64999,153.14999,1009.13071684,757.25,4362.5498,2447.3999,354.49548472,1885.815,697.68041308,1578.93912,7289.9502,1108.45,1420.7,3179.3,1127.15,188.25,2195.75,176.95,172.275,1356.2
2023-03-20,1804.95,385.75,668.15002,104.5,666.75,4313.0,866.70001,887.89,961.20001,2855.1499,2459.95,837.54999,5550.7998,1245.4,1561.75,465.25,836.45001,1002.3,1699.65,1074.1,243.94,519.20001,3805.0,2952.0,2339.3501,1167.65,8219.5996,410.75,92.650002,179.824995,217.05,152.3,999.21231188,754.79999,4331.8501,2511.2,357.56327957,1893.785,694.12381384,1586.459063,7243.2002,1090.85,1403.65,3143.3,1109.0,183.574995,2177.55,176.0,170.625,1344.45
2023-03-21,1824.25,388.54999,665.75,104.75,664.79999,4274.0,862.34998,883.87,956.20001,2839.1001,2514.05,855.59998,5710.1001,1268.1,1579.45,482.75,852.40002,1022.85,1706.85,1097.7,252.1,521.84998,3905.7,2934.8,2349.05,1160.3,8228.4004,412.54999,93.099998,179.274995,217.05,151.55,1030.28378615,756.95001,4264.7002,2462.6001,355.81701522,1892.74,692.44436216,1599.805718,7352.75,1083.9,1390.7,3106.1001,1095.65,183.199995,2208.45,177.10001,167.3624925,1321.55
2023-03-22,1815.4,392.75,662.25,104.8,657.15002,4285.1001,863.40002,894.99,972.04999,2839.8501,2508.1499,849.65002,5834.2002,1294.55,1575.8,497.45001,860.20001,1031.15,1705.15,1113.1,249.23,521.54999,3923.95,2946.55,2353.2,1164.1,8252.4004,416.10001,92.650002,175.899995,213.95,151.55,1033.41594509,756.70001,4244.4502,2476.3501,356.57215529,1881.9699,702.32372216,1606.479045,7396.6499,1081.45,1389.25,3130.8,1099.6,183.199995,2213.95,174.35001,168.0750075,1329.5
2023-03-23,1794.0,398.79999,667.79999,104.9,654.95001,4273.0498,869.09998,889.39,977.65002,2797.8,2519.05,848.79999,5833.0498,1290.0,1563.15,498.54999,855.45001,1018.25,1679.7,1118.65,252.11,512.75,3862.95,2927.7,2362.5,1164.95,8353.2002,419.14999,92.099998,174.175005,213.35001,152.8,1020.3427301,763.54999,4242.7002,2485.1001,359.30956279,1904.4449,698.61896216,1599.556713,7407.9502,1065.9,1374.55,3124.6499,1099.45,180.75,2206.6499,174.60001,166.6124925,1345.15
2023-03-24,1740.65,388.39999,657.79999,102.1,638.0,4283.3501,877.25,892.83,972.84998,2798.5,2493.3501,839.90002,5649.25,1240.65,1560.65,492.25,852.40002,1009.55,1692.15,1112.2,246.64,505.35001,3827.8999,2909.6001,2313.3501,1150.8,8242.9004,416.5,91.550003,172.699995,208.45,149.39999,1000.14286735,762.45001,4199.9502,2480.8,357.46890476,1895.31,693.87682984,1587.953092,7405.6499,1051.75,1380.65,3120.5,1101.95,180.875,2166.1499,172.7,166.7999925,1310.05
2023-03-27,1723.05,389.95001,658.84998,102.3,629.09998,4318.1001,889.29999,897.13,983.45001,2803.75,2494.3999,833.34998,5593.0498,1239.1,1567.45,492.95001,848.70001,1012.85,1705.2,1099.3,241.88,510.14999,3807.55,2885.55,2308.6001,1137.9,8278.3496,412.04999,91.75,172.425005,208.39999,150.25,1015.68995273,761.75,4214.7998,2499.0,358.88481007,1889.1,690.91302184,1624.457188,7450.2002,1051.5,1388.95,3122.3,1103.0,180.625,2154.0,171.25,165.0750075,1328.45
2023-03-28,1600.85,392.89999,660.0,102.5,593.40002,4333.6001,889.5,905.36,984.20001,2784.45,2500.3,832.45001,5534.4502,1223.15,1580.2,489.70001,854.75,1036.15,1698.9,1091.3,245.18,508.10001,3791.6001,2852.3999,2249.5,1128.3,8208.7998,401.60001,90.300003,169.925005,208.89999,147.2,1020.433516,748.45001,4200.0,2482.8,358.46002904,1894.6,687.65284292,1604.686211,7403.1001,1041.1,1377.6,3115.8999,1070.3,178.100005,2133.6001,172.0,166.5750075,1291.15
2023-03-29,1740.4,399.04999,678.90002,103.6,636.65002,4363.0,887.70001,913.56,991.90002,2770.5,2515.05,842.59998,5625.2002,1246.05,1587.8,495.95001,851.0,1057.1,1721.05,1098.7,250.36,516.5,3879.3,2933.7,2304.1499,1144.3,8295.2998,409.20001,91.550003,169.925005,212.95,149.35001,1014.39625365,743.59998,4276.2002,2530.8501,361.29183967,1905.2949,689.13474692,1625.204202,7570.75,1067.5,1383.55,3138.8999,1081.1,179.524995,2147.45,174.0,166.8375,1335.85
2023-03-31,1750.45,405.35001,688.09998,104.5,631.90002,4310.8999,900.5,924.55,983.09998,2761.6499,2514.8999,858.5,5616.75,1266.5,1609.55,499.20001,877.25,1067.95,1732.85,1101.1,251.88,523.75,3884.75,2948.8501,2347.3501,1158.7,8292.1504,420.79999,97.550003,172.149995,213.64999,151.05,1058.13236098,749.0,4322.1499,2560.3501,361.99979233,1970.45,700.29841384,1626.200221,7622.1499,1085.25,1427.95,3205.8999,1101.85,182.625,2164.2,175.10001,169.275,1374.95
2023-04-03,1717.45,402.54999,682.20001,104.1,627.79999,4234.3501,891.45001,931.3,979.04999,2777.0,2537.3999,864.59998,5715.0498,1282.95,1610.55,503.70001,883.79999,1078.75,1745.7,1103.8,257.29,526.75,3993.75,3004.3,2431.1001,1169.9,8503.0498,424.25,96.599998,164.975005,220.14999,153.64999,1058.31393277,760.54999,4324.0498,2536.1001,357.65767326,1970.5449,708.39949892,1621.469131,7640.5,1098.15,1410.85,3200.0,1103.2,183.975005,2170.1499,177.8,168.4500075,1357.4
2023-04-05,1698.0,403.29999,686.54999,104.85,636.75,4200.9502,895.75,936.56,997.15002,2808.5,2572.7,860.5,5761.2998,1279.3,1653.75,507.75,884.59998,1067.2,1751.9,1105.55,257.81,523.0,4023.1499,2933.75,2432.2,1155.45,8447.0498,426.54999,98.25,164.024995,222.5,152.89999,1055.77197297,763.45001,4327.5498,2582.75,364.73719983,1982.2051,718.62466616,1652.644526,7691.9502,1111.2,1423.55,3239.8,1103.5,184.875,2257.75,175.89999,169.2374925,1364.8
2023-04-06,1754.05,405.25,682.70001,104.35,641.59998,4201.9502,893.34998,939.88,1012.1,2809.8501,2548.45,851.95001,5932.2002,1303.95,1666.35,514.65002,875.0,1082.0,1757.1,1116.25,260.77,527.65002,4033.6001,2961.7,2426.45,1171.25,8516.6504,437.64999,98.75,166.0,221.7,150.60001,1062.85322777,765.95001,4299.7998,2565.25,365.63395875,1970.825,721.687248,1662.405512,7701.8501,1091.85,1421.9,3220.7,1092.75,183.324995,2274.25,175.2,168.9375,1367.25
2023-04-10,1797.25,411.45001,688.5,104.95,652.0,4237.0,901.84998,951.93,1008.6,2776.3501,2583.7,847.34998,5828.7998,1305.05,1658.45,513.70001,868.45001,1069.3,1759.3,1106.25,260.95,526.29999,4061.6001,2970.45,2460.6499,1188.6,8535.1504,461.29999,99.900002,167.899995,222.05,157.14999,1055.31804347,769.75,4266.3999,2532.1499,366.76666412,1953.0199,711.95609816,1703.441495,7696.25,1103.1,1427.6,3263.3999,1107.25,186.649995,2309.7,177.60001,171.7875,1358.7
2023-04-11,1803.15,417.54999,713.59998,107.55,653.95001,4271.2998,907.15002,952.67,1009.25,2753.8,2580.05,853.29999,5837.75,1323.2,1663.3,513.54999,881.90002,1074.2,1846.5,1112.65,259.06,532.09998,4177.3999,3054.2,2469.8501,1201.7,8659.5498,458.70001,100.0,169.550005,223.64999,159.05,1060.53823272,774.15002,4277.3501,2547.75,373.79900329,1967.46,708.64648292,1704.288111,7741.4502,1087.0,1406.15,3213.8,1098.25,185.125,2301.5,178.10001,173.5125075,1354.15
2023-04-12,1847.25,417.64999,718.25,107.6,657.75,4320.2002,917.95001,976.2,1016.7,2786.75,2587.8999,851.04999,5856.9502,1321.55,1684.9,517.04999,890.15002,1074.75,1844.05,1126.85,261.8,528.20001,4286.0,3128.3501,2477.3,1207.35,8621.0498,465.5,100.8,168.649995,227.7,157.64999,1065.21361578,771.09998,4271.2998,2528.95,371.4863485,1944.0301,709.73324216,1710.612832,7682.8501,1094.5,1428.3,3241.6499,1109.9,186.074995,2288.5,175.8,170.475,1363.25
